session_id,f0_mean_hz,f0_std_hz,f0_range_hz,pause_ratio,voiced_ratio,energy_std,energy_mean,duration_sec,frame_count,voiced_frames
322,121.645,19.980,185.461,0.9097,0.0903,0.005838,0.003556,1047.10,104707,9456
358,145.373,41.352,291.469,0.9996,0.0004,0.001226,0.000033,47973.13,4797310,1772
329,109.184,12.615,171.586,0.9006,0.0994,0.005801,0.003737,706.30,70627,7018
321,184.230,18.703,184.544,0.9856,0.0144,0.002564,0.001570,821.90,82187,1182
302,112.100,19.692,390.768,0.9700,0.0300,0.003506,0.003340,758.80,75877,2277
315,115.279,19.121,420.838,0.8216,0.1784,0.046047,0.025940,975.40,97537,17398
359,127.320,21.983,223.736,0.8563,0.1437,0.009217,0.005909,1033.60,103357,14849
375,124.583,25.002,423.881,0.9551,0.0449,0.006950,0.002939,621.20,62117,2788
324,97.077,16.107,218.852,0.9336,0.0664,0.005102,0.003269,721.30,72127,4786
353,198.853,37.516,354.086,0.7781,0.2219,0.009356,0.006166,786.00,78597,17441
349,112.424,11.051,88.840,0.9862,0.0138,0.002562,0.001722,1216.00,121597,1679
341,187.937,35.271,433.776,0.9039,0.0961,0.005253,0.003445,867.50,86747,8338
352,205.655,44.348,383.415,0.8068,0.1932,0.010827,0.006255,760.10,76007,14685
379,94.419,17.231,339.703,0.8311,0.1689,0.012065,0.008818,1002.10,100207,16928
314,178.410,49.832,436.027,0.8387,0.1613,0.007435,0.005384,1546.70,154667,24948
307,215.964,56.259,436.565,0.7459,0.2541,0.061884,0.062070,1238.80,123877,31479
354,100.011,8.046,72.479,0.9999,0.0001,0.000723,0.000009,85984.01,8598398,586
310,85.915,12.881,142.239,0.9339,0.0661,0.008866,0.005193,844.90,84487,5587
330,99.290,26.852,232.986,0.9997,0.0003,0.000847,0.000017,95159.05,9515902,2426
338,178.339,44.577,411.074,0.7937,0.2063,0.011690,0.007070,596.80,59677,12313
388,93.903,15.276,329.843,0.9823,0.0177,0.007547,0.002322,831.20,83117,1472
