feature,r_c,r_python,direction_preserved,p_c,p_python,d_c,d_python,epr,epr_acceptable,mape,correlation,n_samples
f0_mean_hz,0.18307895307738942,0.19064127728009897,True,4.906798014326924e-05,2.3742981580496325e-05,0.4784245766674222,0.4985176947669259,0.9596942730209448,True,6.275845822093137,0.9361690441863141,485
f0_std_hz,0.04198923746607089,0.014561877343630205,True,0.3556458562000418,0.7490581351024629,0.10796752475867114,0.03738419654886437,2.8880525656756664,True,37.25417570155395,0.5254597247094995,484
f0_range_hz,0.02095489808456748,0.01110423926299519,True,0.6449275374354762,0.8072912281531486,0.05384593129274453,0.028506258553581472,1.8889161196490807,True,54.7821257331376,0.5579518087388888,484
pause_ratio,0.00568550874298529,0.11778412077053226,True,0.9005096077616279,0.009424040387707801,0.014606572507042346,0.304470326828412,0.04797371441478453,False,64.82189034161632,0.5769426317602987,485
voiced_ratio,0.0010848614121128208,-0.11778412077053227,False,0.9809685613499106,0.009424040387707801,0.002787061070922079,-0.30447032682841313,0.009153801948302013,False,43.948020854792105,0.5769426317602986,485
energy_std,-0.19405866709206415,-0.17232243182161947,True,1.646575004162932e-05,0.00013685618034740463,-0.5082067915630534,-0.44906821502334937,1.1316917442857297,True,9.633214132725175,0.9651192596848079,485
jitter,-0.004914422936867013,0.002532787141797166,False,0.9139464112944249,0.9556325743153824,-0.01262553358683777,0.006501666935582513,inf,True,242.00600810468646,0.22302461297680087,484
shimmer,0.06662756668506509,0.07439127880168815,True,0.1424632190309486,0.10176876386080544,0.17155051790275366,0.19149246972216122,0.8958603863204565,True,145.2985478523506,0.4745871711041085,485
hnr_mean,0.07340887903404136,0.1225313809830437,True,0.10602023228052312,0.006898639858416475,0.18910103302460518,0.31692530585752793,0.5966738203910247,False,161.3927703174994,0.6623445627148291,485
snr,-0.1612475655884381,0.08985911331620927,False,0.00035835165307039076,0.04794698577965389,-0.4197452878057621,0.23160464678091788,1.8123353466340957,True,52.96060830997823,0.4097007060364729,485
